Food code;Main food description;Additional food description;WWEIA Category number;WWEIA Category description
27580050;Multiple meat sandwich or sub, restaurant;"fast food; bread, bun or roll; any two or more meats excluding bacon";3740;Deli and cured meat sandwiches
27580060;Multiple meat sandwich or sub, with cheese, restaurant;"fast food; bread, bun or roll; any two or more meats excluding bacon";3740;Deli and cured meat sandwiches
27580070;Multiple meat sandwich wrap;"tortilla; flatbread; any two or more meats excluding bacon; cheese";3740;Deli and cured meat sandwiches
27580110;Turkey and ham sandwich on white;"bread, bun or roll; turkey ham";3740;Deli and cured meat sandwiches
27580120;Turkey and ham sandwich on white, with cheese;"bread, bun or roll; turkey ham";3740;Deli and cured meat sandwiches
27580130;Turkey and ham sandwich on wheat;"bread, bun or roll; multigrain, whole grain, whole wheat; turkey ham";3740;Deli and cured meat sandwiches
27580140;Turkey and ham sandwich on wheat, with cheese;"bread, bun or roll; multigrain, whole grain, whole wheat; turkey ham";3740;Deli and cured meat sandwiches
27580150;Turkey and ham sandwich or sub, restaurant;"fast food; bread, bun or roll; turkey ham";3740;Deli and cured meat sandwiches
27580160;Turkey and ham sandwich or sub, with cheese, restaurant;"fast food; bread, bun or roll; turkey ham";3740;Deli and cured meat sandwiches
28101000;Frozen dinner, NFS;;3002;Meat mixed dishes
28110000;Beef dinner, NFS, frozen meal;;3002;Meat mixed dishes
28110150;Beef with vegetable, diet frozen meal;;3002;Meat mixed dishes
28110300;Salisbury steak dinner, NFS, frozen meal;;3002;Meat mixed dishes
28110310;Salisbury steak with gravy, potatoes, vegetable, frozen meal;"Armour Dinner Classics Salisbury Steak; Kraft Sirloin Salisbury Steak with Gravy";3002;Meat mixed dishes
28110330;Salisbury steak with gravy, whipped potatoes, vegetable, dessert, frozen meal;"Swanson Salisbury Steak Dinner; Morton Salisbury Steak Dinner";3002;Meat mixed dishes
28110380;Salisbury steak with gravy, macaroni and cheese, frozen meal;Swanson Salisbury Steak in Gravy with Macaroni and Cheese;3002;Meat mixed dishes
28110510;Beef, sliced, with gravy, potatoes, vegetable, frozen meal;"Banquet Yankee Pot Roast Meal; Marie Callender's Roast Beef dinner; Michelina's Beef Pot Roast dinner; Swanson Beef Pot Roast dinner; Stouffer's Homestyle Slow Roasted Beef & Gravy dinner; Stouffer's Beef Pot Roast meal; Stouffer's Homestyle Slow Roasted Beef & Gravy dinne";3002;Meat mixed dishes
28110660;Meatballs, Swedish, in gravy, with noodles, diet frozen meal;"Lean Cuisine Swedish Meatballs with Pasta; Weight Watchers Smart Ones; Michelina's Lean Gourmet";3002;Meat mixed dishes
28113140;Beef with spaetzle or rice, vegetable, frozen meal;"Budget Gourmet Peppersteak with Rice; Stouffer Green Pepper Steak";3002;Meat mixed dishes
28140100;Chicken dinner, NFS, frozen meal;;3004;Poultry mixed dishes
28140710;Chicken, fried, with potatoes, vegetable, frozen meal;Banquet Fried Chicken Dinner;3004;Poultry mixed dishes
28140720;Chicken patty, or nuggets, boneless, breaded, potatoes, vegetable, frozen meal;Banquet Select Chicken Nuggets meal;3004;Poultry mixed dishes
28141010;Chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion;"Banquet Hearty Ones; Swanson Hungry Man Boneless White Meat Fried Chicken; Swanson Hungry Man Classic Fried Chicken";3004;Poultry mixed dishes
28141201;Teriyaki chicken with rice and vegetable, diet frozen meal;"Lean Cuisine Chicken Teriyaki; Weight Watchers Smart Ones Teriyaki Chicken and Vegetable Bowl; Uncle Ben's Rice Bowl Teriyaki Chicken";3404;Stir-fry and soy-based sauce mixtures
28141250;Chicken with rice and vegetable, diet frozen meal;Lean Cuisine Glazed Chicken with Vegetable Rice;3004;Poultry mixed dishes
28141650;Chicken and vegetables au gratin with rice, diet frozen entree;Budget Gourmet Chicken au Gratin;3004;Poultry mixed dishes
28143020;Chicken and vegetable entree with rice, diet frozen meal;"Weight Watchers; Lean Cuisine; Asian";3004;Poultry mixed dishes
28143080;Chicken with noodles and cheese sauce, diet frozen meal;"Healthy Choice Chicken Fettucini Alfredo; Weight Watchers' Smart Ones Chicken Fettucini; Lean Cuisine Chicken Fettucini";3004;Poultry mixed dishes
28143150;Chicken and vegetable entree with noodles, diet frozen meal;"Lean Cuisine Chicken and Vegetables with Vermicelli; Jenny's Cuisine Chicken Golden Gate";3004;Poultry mixed dishes
28143200;Chicken in soy-based sauce, rice and vegetables, frozen meal;Benihana Glazed Chicken in Sauce with Vegetables and Rice;3404;Stir-fry and soy-based sauce mixtures
28144100;Chicken and vegetable entree with noodles and cream sauce, frozen meal;Budget Gourmet Chicken and Egg Noodles with Broccoli;3004;Poultry mixed dishes
28145110;Turkey with vegetable, stuffing, diet frozen meal;"Weight Watchers Sliced Breast of Turkey; Healthy Choice Classics Sliced Turkey Breast with Gravy and Dressing";3004;Poultry mixed dishes
28145210;Turkey with gravy, dressing, potatoes, vegetable, frozen meal;"Banquet Value Turkey (Mostly White Meat) Meal; Swanson Turkey Breast Dinner";3004;Poultry mixed dishes
28150510;Fish in lemon-butter sauce with starch item, vegetable, frozen meal;;3006;Seafood mixed dishes
28154010;Shrimp and vegetables in sauce with noodles, diet frozen meal;Mrs. Paul's Shrimp Primavera with Fettucini Pasta;3006;Seafood mixed dishes
28160300;Meat loaf dinner, NFS, frozen meal;meatloaf dinner, NFS;3002;Meat mixed dishes
28160310;Meat loaf with potatoes, vegetable, frozen meal;"meatloaf with tomato or other sauce; meatloaf with gravy, any kind; Banquet Meat Loaf Meal; Marie Callender's Meat Loaf Dinner; Stouffer's Home Style Meatloaf with Potatoes";3002;Meat mixed dishes
28310230;Soup, meatball;sopa de albondigas;3804;Soups, broth-based
28310330;Soup, pho, with meat;pho, nfs;3808;Ramen and Asian broth-based soups
28310335;Soup, pho, no meat;tofu;3808;Ramen and Asian broth-based soups
28311010;Soup, pepperpot;tripe soup;3806;Soups, cream-based
28315050;Soup, beef, canned;"with noodles or rice; ready-to-heat container; dry; instant";3804;Soups, broth-based
28315140;Soup, sopa or caldo de res;cocido de res;3804;Soups, broth-based
28315150;Soup, pozole;"menudo; hominy stew";3804;Soups, broth-based
28315160;Soup, Italian wedding;tortellini soup;3804;Soups, broth-based
28320160;Soup, pork or ham;"sausage; with noodles or rice";3804;Soups, broth-based
28340120;Soup, broth;bouillon, consomme, or stock;3804;Soups, broth-based
28340600;Soup, chicken, canned;"turkey; ready-to-heat container; dry; instant";3804;Soups, broth-based
28340660;Soup, chicken;"turkey; chicken soup, NFS";3804;Soups, broth-based
28340670;Soup, sopa or caldo de pollo;;3804;Soups, broth-based
28340750;Soup, hot and sour;sweet and sour soup;3808;Ramen and Asian broth-based soups
28345110;Soup, cream of chicken;;3806;Soups, cream-based
28350220;Soup, Manhattan clam chowder;crab soup;3804;Soups, broth-based
28355110;Soup, New England clam chowder;"clam chowder, NFS; fish or seafood chowder";3806;Soups, cream-based
28355250;Soup, bisque;"lobster soup; oyster stew";3806;Soups, cream-based
28355260;Lobster gumbo;;3006;Seafood mixed dishes
28355440;Shrimp gumbo;;3006;Seafood mixed dishes
28355480;Soup, fish or shrimp;with noodles or rice;3804;Soups, broth-based
28500000;Gravy, poultry;"chicken; turkey; giblet";8412;Dips, gravies, other sauces
28500040;Gravy, beef;"brown; meat; mushroom";8412;Dips, gravies, other sauces
28501010;Gravy, beef, fat free;"brown; meat; mushroom; reduced fat or sodium";8412;Dips, gravies, other sauces
28501110;Gravy, poultry, fat free;"turkey; chicken; giblet; reduced fat or sodium";8412;Dips, gravies, other sauces
28520000;Gravy, made with soy sauce;"Chinese sauce; brown sauce";8412;Dips, gravies, other sauces
28520010;Gravy, NFS;;8412;Dips, gravies, other sauces
28520100;Oyster sauce;;8404;Soy-based condiments
28522000;Mole sauce;"mole, NFS; poblano; rojo; verde";8412;Dips, gravies, other sauces
31101010;Egg, whole, raw;;2502;Eggs and omelets
31102000;Egg, whole, cooked, NS as to cooking method;;2502;Eggs and omelets
31103010;Egg, whole, boiled or poached;"soft boiled or hard boiled egg; egg, cooked, no fat or milk added";2502;Eggs and omelets
31105005;Egg, whole, fried, NS as to fat;"over easy, medium, or hard; sunny side up";2502;Eggs and omelets
31105010;Egg, whole, fried no added fat;"scrambled egg, no milk or fat added; over easy, medium, or hard; sunny side up";2502;Eggs and omelets
31105020;Egg, whole, fried with margarine;"made with shortening; over easy, medium, or hard; sunny side up";2502;Eggs and omelets
31105030;Egg, whole, fried with oil;"over easy, medium, or hard; sunny side up";2502;Eggs and omelets
31105040;Egg, whole, fried with butter;"over easy, medium, or hard; sunny side up";2502;Eggs and omelets
31105060;Egg, whole, fried with animal fat or meat drippings;"over easy, medium, or hard; sunny side up";2502;Eggs and omelets
31105080;Egg, whole, fried with cooking spray;"fried with nonstick spray; over easy, medium, or hard; sunny side up";2502;Eggs and omelets
31105085;Egg, whole, fried, NS as to fat type;"over easy, medium, or hard; sunny side up";2502;Eggs and omelets
31105090;Egg, whole, fried, from fast food / restaurant;"over easy, medium, or hard; sunny side up; other place";2502;Eggs and omelets
31106000;Egg, whole, baked, NS as to fat;;2502;Eggs and omelets
31106010;Egg, whole, baked, no added fat;;2502;Eggs and omelets
31106020;Egg, whole, baked, fat added;nonstick or cooking spray;2502;Eggs and omelets
31107000;Egg, whole, pickled;;2502;Eggs and omelets
31108010;Egg, white only, raw;;2502;Eggs and omelets
31108100;Egg, white, cooked, NS as to fat;"boiled; poached; baked; NS as to cooking method";2502;Eggs and omelets
31108110;Egg, white, cooked, no added fat;"boiled; poached; baked; NS as to cooking method";2502;Eggs and omelets
31108120;Egg, white, cooked, fat added;"boiled; poached; baked; NS as to cooking method";2502;Eggs and omelets
31110010;Egg, yolk only, raw;;2502;Eggs and omelets
31111000;Egg, yolk only, cooked, NS as to fat;;2502;Eggs and omelets
31111010;Egg, yolk only, cooked, no added fat;;2502;Eggs and omelets
31111020;Egg, yolk only, cooked, fat added;nonstick or cooking spray;2502;Eggs and omelets
31201000;Duck egg, cooked;;2502;Eggs and omelets
31202000;Goose egg, cooked;;2502;Eggs and omelets
31203000;Quail egg, canned;;2502;Eggs and omelets
32101000;Egg, creamed;;2502;Eggs and omelets
32101500;Egg, Benedict;;2502;Eggs and omelets
32102000;Egg, deviled;;2502;Eggs and omelets
32103000;Egg salad, made with mayonnaise;NS as to type of dressing;2502;Eggs and omelets
32103015;Egg salad, made with light mayonnaise;diet, low calorie, low fat, reduced calorie, or reduced fat dressing;2502;Eggs and omelets
32103020;Egg salad, made with mayonnaise-type salad dressing;"Miracle Whip; imitation mayonnaise; coleslaw dressing; ""slaw"" dressing";2502;Eggs and omelets
32103025;Egg salad, made with light mayonnaise-type salad dressing;"diet, low calorie, low fat, reduced calorie, or reduced fat dressing; Miracle Whip Light; light coleslaw dressing; light ""slaw"" dressing; light imitation mayonnaise; Hellmann's Dijonnaise";2502;Eggs and omelets
32103030;Egg salad, made with creamy dressing;"ranch dressing; ranch dip; peppercorn dressing; creamy Italian; French made with sour cream; creamy bacon dressing; creamy parmesan; cream cheese dressing; sour cream; blue cheese or roquefort cheese dressing; caesar dressing";2502;Eggs and omelets
32103035;Egg salad, made with light creamy dressing;"diet, low calorie, low fat, reduced calorie, or reduced fat dressing; light ranch dressing; light ranch dip; light blue or roquefort cheese dressing; light caesar dressing; light peppercorn dressing; light creamy Italian; light French made with sour cream; light creamy bacon dressing; light creamy parmesan; light cream cheese dressing; light sour cream";2502;Eggs and omelets
32103040;Egg salad, made with Italian dressing;"vinegar and oil; vinaigrette; Greek dressing; onion or Vidalia onion dressing; Champagne dressing; celery seed dressing; red wine, balsamic, or raspberry vinegar dressing";2502;Eggs and omelets
32103045;Egg salad, made with light Italian dressing;"diet, low calorie, low fat, reduced calorie, or reduced fat dressing; Newman's Own Light; light vinaigrette; light Greek dressing; light onion or Vidalia onion dressing; light Champagne dressing; light celery seed dressing";2502;Eggs and omelets
32103050;Egg Salad, made with any type of fat free dressing;"fat free mayonnaise; fat free mayonnaise-type salad dressing; fat free Italian dressing; any fat free creamy dressing; fat free vinaigrette; with no dressing";2502;Eggs and omelets
32105180;Huevos rancheros;;2502;Eggs and omelets
32105190;Egg casserole with bread, cheese, milk and meat;;2502;Eggs and omelets
32105200;Egg foo yung, NFS;young;3404;Stir-fry and soy-based sauce mixtures
32105210;Chicken egg foo yung;young;3404;Stir-fry and soy-based sauce mixtures
32105220;Pork egg foo yung;young;3404;Stir-fry and soy-based sauce mixtures
32105230;Shrimp egg foo yung;young;3404;Stir-fry and soy-based sauce mixtures
32105240;Beef egg foo yung;young;3404;Stir-fry and soy-based sauce mixtures
32129990;Egg omelet or scrambled egg, NS as to fat;;2502;Eggs and omelets
32130000;Egg omelet or scrambled egg, made with margarine;made with shortening;2502;Eggs and omelets
32130010;Egg omelet or scrambled egg, made with oil;;2502;Eggs and omelets
32130020;Egg omelet or scrambled egg, made with butter;;2502;Eggs and omelets
32130040;Egg omelet or scrambled egg, made with animal fat or meat drippings;;2502;Eggs and omelets
32130060;Egg omelet or scrambled egg, made with cooking spray;made with nonstick spray;2502;Eggs and omelets
32130065;Egg omelet or scrambled egg, NS as to fat type;;2502;Eggs and omelets
32130070;Egg omelet or scrambled egg, no added fat;;2502;Eggs and omelets
32130080;Egg omelet or scrambled egg, from fast food / restaurant;other place;2502;Eggs and omelets
32130100;Egg omelet or scrambled egg, with cheese, made with margarine;made with shortening;2502;Eggs and omelets
32130110;Egg omelet or scrambled egg, with cheese, made with oil;"NS as to fat; NS as to fat type";2502;Eggs and omelets
32130120;Egg omelet or scrambled egg, with cheese, made with butter;;2502;Eggs and omelets
32130140;Egg omelet or scrambled egg, with cheese, made with animal fat or meat drippings;;2502;Eggs and omelets
32130160;Egg omelet or scrambled egg, with cheese, made with cooking spray;made with nonstick spray;2502;Eggs and omelets
32130170;Egg omelet or scrambled egg, with cheese, no added fat;;2502;Eggs and omelets
32130190;Egg omelet or scrambled egg, with meat, NS as to fat;all meat, poultry, and seafood;2502;Eggs and omelets
32130200;Egg omelet or scrambled egg, with meat, made with margarine;"made with shortening; all meat, poultry, and seafood";2502;Eggs and omelets
32130210;Egg omelet or scrambled egg, with meat, made with oil;all meat, poultry, and seafood;2502;Eggs and omelets
32130220;Egg omelet or scrambled egg, with meat, made with butter;all meat, poultry, and seafood;2502;Eggs and omelets
32130240;Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings;all meat, poultry, and seafood;2502;Eggs and omelets
32130260;Egg omelet or scrambled egg, with meat, made with cooking spray;"made with nonstick spray; all meat, poultry, and seafood";2502;Eggs and omelets
32130265;Egg omelet or scrambled egg, with meat, NS as to fat type;all meat, poultry, and seafood;2502;Eggs and omelets
32130270;Egg omelet or scrambled egg, with meat, no added fat;all meat, poultry, and seafood;2502;Eggs and omelets
32130290;Egg omelet or scrambled egg, with cheese and meat, NS as to fat;all meat, poultry, and seafood;2502;Eggs and omelets
32130300;Egg omelet or scrambled egg, with cheese and meat, made with margarine;"made with shortening; all meat, poultry, and seafood";2502;Eggs and omelets
32130310;Egg omelet or scrambled egg, with cheese and meat, made with oil;all meat, poultry, and seafood;2502;Eggs and omelets
32130320;Egg omelet or scrambled egg, with cheese and meat, made with butter;all meat, poultry, and seafood;2502;Eggs and omelets
32130340;Egg omelet or scrambled egg, with cheese and meat, made with animal fat or meat drippings;all meat, poultry, and seafood;2502;Eggs and omelets
32130360;Egg omelet or scrambled egg, with cheese and meat, made with cooking spray;"made with nonstick spray; all meat, poultry, and seafood";2502;Eggs and omelets
32130365;Egg omelet or scrambled egg, with cheese and meat, NS as to fat type;all meat, poultry, and seafood;2502;Eggs and omelets
32130370;Egg omelet or scrambled egg, with cheese and meat, no added fat;all meat, poultry, and seafood;2502;Eggs and omelets
32130400;Egg omelet or scrambled egg, with tomatoes, fat added;"peppers, onions, and other vegetables; nonstick or cooking spray";2502;Eggs and omelets
32130410;Egg omelet or scrambled egg, with tomatoes, no added fat;peppers, onions, and other vegetables;2502;Eggs and omelets
32130420;Egg omelet or scrambled egg, with tomatoes, NS as to fat;peppers, onions, and other vegetables;2502;Eggs and omelets
32130430;Egg omelet or scrambled egg, with dark-green vegetables, fat added;"broccoli, spinach, peppers, onions, and other vegetables; nonstick or cooking spray";2502;Eggs and omelets
32130440;Egg omelet or scrambled egg, with dark-green vegetables, no added fat;broccoli, spinach, peppers, onions, and other vegetables;2502;Eggs and omelets
32130450;Egg omelet or scrambled egg, with dark-green vegetables, NS as to fat;broccoli, spinach, peppers, onions, and other vegetables;2502;Eggs and omelets
32130460;Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, fat added;"broccoli, spinach, peppers, onions, and other vegetables; nonstick or cooking spray";2502;Eggs and omelets
32130470;Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, no fat added;broccoli, spinach, peppers, onions, and other vegetables;2502;Eggs and omelets
32130480;Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, NS as to fat;broccoli, spinach, peppers, onions, and other vegetables;2502;Eggs and omelets
32130490;Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added;"peppers, onions, and other vegetables; nonstick or cooking spray";2502;Eggs and omelets
32130500;Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, no added fat;peppers, onions, and other vegetables;2502;Eggs and omelets
32130510;Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, NS as to fat;peppers, onions, and other vegetables;2502;Eggs and omelets
32130600;Egg omelet or scrambled egg, with cheese and tomatoes, fat added;"peppers, onions, and other vegetables; nonstick or cooking spray";2502;Eggs and omelets
32130610;Egg omelet or scrambled egg, with cheese and tomatoes, no added fat;peppers, onions, and other vegetables;2502;Eggs and omelets
32130620;Egg omelet or scrambled egg, with cheese and tomatoes, NS as to fat;peppers, onions, and other vegetables;2502;Eggs and omelets
32130630;Egg omelet or scrambled egg, with cheese and dark-green vegetables, fat added;"broccoli, spinach, peppers, onions, and other vegetables; nonstick or cooking spray";2502;Eggs and omelets
32130640;Egg omelet or scrambled egg, with cheese and dark-green vegetables, no added fat;broccoli, spinach, peppers, onions, and other vegetables;2502;Eggs and omelets
32130650;Egg omelet or scrambled egg, with cheese and dark-green vegetables, NS as to fat;broccoli, spinach, peppers, onions, and other vegetables;2502;Eggs and omelets
32130660;Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, fat added;"broccoli, spinach, peppers, onions, and other vegetables; nonstick or cooking spray";2502;Eggs and omelets
32130670;Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, no added fat;broccoli, spinach, peppers, onions, and other vegetables;2502;Eggs and omelets
32130680;Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, NS as to fat;broccoli, spinach, peppers, onions, and other vegetables;2502;Eggs and omelets
32130690;Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, fat added;"peppers, onions, and other vegetables; nonstick or cooking spray";2502;Eggs and omelets
32130700;Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, no added fat;peppers, onions, and other vegetables;2502;Eggs and omelets
32130710;Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, NS as to fat;peppers, onions, and other vegetables;2502;Eggs and omelets
32130800;Egg omelet or scrambled egg, with meat and tomatoes, fat added;"peppers, onions, and other vegetables; nonstick or cooking spray; all meat, poultry, and seafood";2502;Eggs and omelets
32130810;Egg omelet or scrambled egg, with meat and tomatoes, no added fat;"peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32130820;Egg omelet or scrambled egg, with meat and tomatoes, NS as to fat;"peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32130830;Egg omelet or scrambled egg, with meat and dark-green vegetables, fat added;"broccoli, spinach, peppers, onions, and other vegetables; nonstick or cooking spray; all meat, poultry, and seafood";2502;Eggs and omelets
32130840;Egg omelet or scrambled egg, with meat and dark-green vegetables, no added fat;"broccoli, spinach, peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32130850;Egg omelet or scrambled egg, with meat and dark-green vegetables, NS as to fat;"broccoli, spinach, peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32130860;Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, fat added;"broccoli, spinach, peppers, onions, and other vegetables; nonstick or cooking spray; all meat, poultry, and seafood";2502;Eggs and omelets
32130870;Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, no added fat;"broccoli, spinach, peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32130880;Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, NS as to fat;"broccoli, spinach, peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32130890;Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, fat added;"peppers, onions, and other vegetables; nonstick or cooking spray; all meat, poultry, and seafood";2502;Eggs and omelets
32130900;Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, no added fat;"peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32130910;Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, NS as to fat;"peppers, onions, and other vegetables; Western omelet; all meat, poultry, and seafood";2502;Eggs and omelets
32131000;Egg omelet or scrambled egg, with cheese, meat, and tomatoes, fat added;"peppers, onions, and other vegetables; nonstick or cooking spray; all meat, poultry, and seafood";2502;Eggs and omelets
32131010;Egg omelet or scrambled egg, with cheese, meat, and tomatoes, no added fat;"peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32131020;Egg omelet or scrambled egg, with cheese, meat, and tomatoes, NS as to fat;"peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32131030;Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, fat added;"broccoli, spinach, peppers, onions, and other vegetables; nonstick or cooking spray; all meat, poultry, and seafood";2502;Eggs and omelets
32131040;Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, no added fat;"broccoli, spinach, peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32131050;Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, NS as to fat;"broccoli, spinach, peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32131060;Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, fat added;"broccoli, spinach, peppers, onions, and other vegetables; nonstick or cooking spray; all meat, poultry, and seafood";2502;Eggs and omelets
32131070;Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, no added fat;"broccoli, spinach, peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32131080;Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, NS as to fat;"broccoli, spinach, peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32131090;Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, fat added;"peppers, onions, and other vegetables; nonstick or cooking spray; all meat, poultry, and seafood";2502;Eggs and omelets
32131100;Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, no added fat;"peppers, onions, and other vegetables; all meat, poultry, and seafood";2502;Eggs and omelets
32131110;Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, NS as to fat;"peppers, onions, and other vegetables; Western omelet with meat and cheese; all meat, poultry, and seafood";2502;Eggs and omelets
32131200;Egg omelet or scrambled egg, with potatoes and/or onions, fat added;"Tortilla Espanola; nonstick or cooking spray";2502;Eggs and omelets
32131210;Egg omelet or scrambled egg, with potatoes and/or onions, no added fat;Tortilla Espanola;2502;Eggs and omelets
32131220;Egg omelet or scrambled egg, with potatoes and/or onions, NS as to fat;Tortilla Espanola;2502;Eggs and omelets
32203010;Egg salad sandwich on white;"bread, bun or roll; cheese";3706;Egg/breakfast sandwiches
32203020;Egg salad sandwich on wheat;"bread, bun or roll; multigrain, whole grain, whole wheat; cheese";3706;Egg/breakfast sandwiches
32300100;Soup, egg drop;;3808;Ramen and Asian broth-based soups
32400055;Egg white omelet, scrambled, or fried, NS as to fat;;2502;Eggs and omelets
32400060;Egg white omelet, scrambled, or fried, made with margarine;made with shortening;2502;Eggs and omelets
32400065;Egg white omelet, scrambled, or fried, made with oil;;2502;Eggs and omelets
32400070;Egg white omelet, scrambled, or fried, made with butter;;2502;Eggs and omelets
32400075;Egg white omelet, scrambled, or fried, made with cooking spray;made with nonstick spray;2502;Eggs and omelets
32400078;Egg white omelet, scrambled, or fried, NS as to fat type;;2502;Eggs and omelets
32400080;Egg white omelet, scrambled, or fried, no added fat;;2502;Eggs and omelets
32400100;Egg white, omelet, scrambled, or fried, with cheese;with or without fat;2502;Eggs and omelets
32400200;Egg white, omelet, scrambled, or fried, with meat;"all meat, poultry, and seafood; with or without fat";2502;Eggs and omelets
32400300;Egg white, omelet, scrambled, or fried, with vegetables;"any type of vegetable; with or without fat";2502;Eggs and omelets
32400400;Egg white, omelet, scrambled, or fried, with cheese and meat;"all meat, poultry, and seafood; with or without fat";2502;Eggs and omelets
32400500;Egg white, omelet, scrambled, or fried, with cheese and vegetables;"any type of vegetable; with or without fat";2502;Eggs and omelets
32400600;Egg white, omelet, scrambled, or fried, with meat and vegetables;"all meat, poultry, and seafood; any type of vegetable; with or without fat";2502;Eggs and omelets
32400700;Egg white, omelet, scrambled, or fried, with cheese, meat, and vegetables;"all meat, poultry, and seafood; any type of vegetable; with or without fat";2502;Eggs and omelets
32401000;Meringues;;5804;Pudding
33001010;Egg substitute, omelet, scrambled, or fried, fat added;Egg Beaters;2502;Eggs and omelets
33001050;Egg substitute, omelet, scrambled, or fried, no added fat;"Egg Beaters; cooking spray";2502;Eggs and omelets
33401000;Egg substitute, omelet, scrambled, or fried, with cheese;"Egg Beaters; with or without fat";2502;Eggs and omelets
33401100;Egg substitute, omelet, scrambled, or fried, with meat;"Egg Beaters; all meat, poultry, and seafood; with or without fat";2502;Eggs and omelets
33401200;Egg substitute, omelet, scrambled, or fried, with vegetables;"Egg Beaters; any type of vegetable; with or without fat";2502;Eggs and omelets
33401300;Egg substitute, omelet, scrambled, or fried, with cheese and meat;"Egg Beaters; all meat, poultry, and seafood; with or without fat";2502;Eggs and omelets
33401400;Egg substitute, omelet, scrambled, or fried, with cheese and vegetables;"Egg Beaters; any type of vegetable; with or without fat";2502;Eggs and omelets
33401500;Egg substitute, omelet, scrambled, or fried, with meat and vegetables;"Egg Beaters; all meat, poultry, and seafood; any type of vegetable; with or without fat";2502;Eggs and omelets
33401600;Egg substitute, omelet, scrambled, or fried, with cheese, meat, and vegetables;"Egg Beaters; tomatoes, peppers, onions, broccoli, spinach, potatoes; all meat, poultry, and seafood; with or without fat";2502;Eggs and omelets
34001100;Egg sandwich on white bread;"egg sandwich, NFS; on bun or roll";3706;Egg/breakfast sandwiches
34001110;Egg sandwich on white bread, with cheese;on bun or roll;3706;Egg/breakfast sandwiches
34001120;Egg sandwich on white bread, with meat;"on bun or roll; bacon, sausage, ham, Canadian bacon, other meat";3706;Egg/breakfast sandwiches
34001130;Egg sandwich on white bread, with meat and cheese;"on bun or roll; bacon, sausage, ham, Canadian bacon, other meat";3706;Egg/breakfast sandwiches
34001200;Egg sandwich on wheat bread;"on bun or roll; multigrain, whole grain, whole wheat";3706;Egg/breakfast sandwiches
34001210;Egg sandwich on wheat bread, with cheese;"on bun or roll; multigrain, whole grain, whole wheat";3706;Egg/breakfast sandwiches
34001220;Egg sandwich on wheat bread, with meat;"on bun or roll; multigrain, whole grain, whole wheat; bacon, sausage, ham, Canadian bacon, other meat";3706;Egg/breakfast sandwiches
